numero_vuelo,codigo_aerolinea,aeropuerto_origen,aeropuerto_destino,fecha_salida,hora_salida,fecha_llegada,hora_llegada
98,AS,ANC,SEA,1/3/2020,13:30,2/4/2020,1:20
2336,AA,LAX,PBI,1/3/2020,14:30,1/3/2020,16:30
840,US,SFO,CLT,1/3/2020,15:30,1/3/2020,18:30
258,AA,LAX,MIA,2/4/2020,16:30,2/4/2020,21:45
135,AS,SEA,ANC,3/4/2020,17:30,3/4/2020,21:45
806,DL,SFO,MSP,3/4/2020,18:30,4/4/2020,6:20
612,NK,LAS,MSP,1/3/2020,1:20,1/3/2020,6:20
2013,US,LAX,CLT,5/3/2020,2:20,6/3/2020,1:20
1112,AA,SFO,DFW,1/3/2020,3:20,2/4/2020,1:20
1173,DL,LAS,ATL,2/4/2020,4:20,3/4/2020,13:30
2336,DL,DEN,ATL,3/4/2020,5:20,4/4/2020,13:30
1674,AA,LAS,MIA,5/3/2020,6:20,6/3/2020,11:00
1434,DL,LAX,MSP,2/4/2020,11:00,3/4/2020,4:20
2324,DL,SLC,ATL,1/3/2020,12:00,1/3/2020,15:00
2440,DL,SEA,MSP,1/3/2020,13:00,2/4/2020,15:00
108,AS,ANC,SEA,3/4/2020,14:00,4/4/2020,4:20
1560,DL,ANC,SEA,5/3/2020,15:00,6/3/2020,4:20
1197,UA,SFO,IAH,2/4/2020,16:00,3/4/2020,3:20
122,AS,ANC,PDX,5/3/2020,17:00,6/3/2020,3:20
1670,DL,PDX,MSP,3/4/2020,18:00,4/4/2020,23:45
520,NK,LAS,MCI,5/3/2020,21:45,6/4/2020,6:20
371,AA,SEA,MIA,2/4/2020,22:45,3/4/2020,0:45
214,NK,LAS,DFW,5/3/2020,23:45,6/3/2020,1:45
115,AA,LAX,MIA,6/3/2020,0:45,6/3/2020,7:15
1450,DL,LAS,MSP,2/4/2020,1:45,3/4/2020,21:45
1545,UA,LAX,IAH,3/4/2020,6:15,3/4/2020,9:15
130,AS,FAI,SEA,5/3/2020,7:15,6/3/2020,16:00
597,NK,MSP,FLL,6/3/2020,8:15,6/3/2020,16:00
413,US,LAS,CLT,3/4/2020,9:15,4/4/2020,6:20
